storeName,storeAddress,avgRating,nrReviews,priceCategory,CousineType,all_ranks,all_ratings
Restaurant Ilden København,"H.C. Andersens Boulevard 11, Copenhagen 1553 Denmark",4.0,52,$$ - $$$,"['Steakhouse', 'European', 'Grill']","['#25 of 32 Steakhouse in Copenhagen', '#804 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5)]"
Zalt,"Kompagnistraede 1206, Copenhagen 1208 Denmark",3.5,285,$$ - $$$,"['Bar', 'Cafe', 'Contemporary']","['#99 of 177 Bar in Copenhagen', '#805 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 3.5)]"
Himalaya Restaurant,"Herluf Trolles Gade 5, Copenhagen 1052 Denmark",4.0,49,$$ - $$$,"['Asian', 'Tibetan', 'Nepali']","['#136 of 226 Asian in Copenhagen', '#806 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 4.0), ('Atmosphere', 3.5)]"
Steak & Thai Restaurant,"Solvgade 86, Copenhagen 1307 Denmark",4.0,33,$$ - $$$,"['Asian', 'Thai', 'Grill']","['#137 of 226 Asian in Copenhagen', '#807 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0)]"
Ramsløg by Sides.,"Refshalevej 167A, Copenhagen 1432 Denmark",4.5,13,$,"['American', 'International', 'European']","['#808 of 1,971 Restaurants in Copenhagen']",[]
Vini Vino,"Faelledvej 15, Copenhagen 2200 Denmark",5.0,14,$$ - $$$,[],"['#809 of 1,971 Restaurants in Copenhagen']",[]
Que Pasa,"Bogholder Alle 65 Vanlose, Copenhagen 2720 Denmark",4.5,29,$$ - $$$,"['Mexican', 'Latin', 'Spanish']","['#11 of 39 Mexican in Copenhagen', '#810 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
pasta house,"Amagerbrogade 32 Amagerbrogade 32, 2300 Kobenhavn S, Copenhagen 2300 Denmark",4.5,15,$$ - $$$,"['Italian', 'Pizza', 'Vegetarian Friendly']","['#117 of 238 Italian in Copenhagen', '#811 of 1,971 Restaurants in Copenhagen']",[]
Cafe Bjorg's,"Vester Voldgade 19, Copenhagen 1552 Denmark",3.5,131,$$ - $$$,"['Cafe', 'European']","['#203 of 402 Cafe in Copenhagen', '#812 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Ristorante Zio & Nonna,"Oestbanegade 23, Copenhagen 2100 Denmark",4.5,22,$$ - $$$,"['Italian', 'Pizza', 'Seafood']","['#118 of 238 Italian in Copenhagen', '#813 of 1,971 Restaurants in Copenhagen']",[]
JOE & THE JUICE,"Bernstorffsgade 16 Hovedbanegarden, Copenhagen 1577 Denmark",3.5,71,$$ - $$$,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']","['#204 of 402 Cafe in Copenhagen', '#814 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5)]"
Mikkeler Barrel Room,"Refshalevej 169B Refshaleoen, Copenhagen Denmark",5.0,11,$$ - $$$,[],"['#816 of 1,971 Restaurants in Copenhagen']","[('Service', 4.0), ('Value', 4.5)]"
Hija De Sanchez,"Torvehallerne Market, Copenhagen 2200 Denmark",4.0,20,$,"['Mexican', 'Latin', 'Spanish']","['#12 of 39 Mexican in Copenhagen', '#815 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 3.5)]"
Bistro1620,"Vesterbrogade 55A, Copenhagen 1620 Denmark",4.5,10,$$ - $$$,[],"['#817 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
Gran Torino Pizza,"Gran Torino Sortedam Dossering 7C Baghuset, Copenhagen 2200 Denmark",3.5,109,$$ - $$$,"['Italian', 'Pizza', 'European']","['#119 of 238 Italian in Copenhagen', '#818 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 4.0)]"
Leonore Christine,"Nyhavn 9, Copenhagen 1051 Denmark",3.5,74,$$ - $$$,"['Seafood', 'Danish', 'Gluten Free Options']","['#50 of 82 Seafood in Copenhagen', '#819 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 4.0), ('Value', 3.5)]"
Salt & Pepper,"Engvej 171, Copenhagen 2300 Denmark",3.5,64,$$ - $$$,['European'],"['#527 of 840 European in Copenhagen', '#820 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.0), ('Value', 2.5)]"
Restaurant Flammen Nyropsgade,"Nyropsgade 2, Copenhagen 1602 Denmark",3.5,75,$$ - $$$,"['Barbecue', 'Grill', 'Contemporary']","['#11 of 29 Barbecue in Copenhagen', '#821 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 4.0), ('Value', 3.5)]"
Carls Ol & Spisehus,"Bag Elefanterne 20, Copenhagen 1799 Denmark",4.0,18,$$ - $$$,"['Bar', 'Cafe', 'European']",[],"[('Food', 4.0), ('Service', 3.5), ('Value', 3.5)]"
Royal cuisine,"Roennegade 1, Copenhagen 2100 Denmark",4.5,26,$$ - $$$,"['Chinese', 'Seafood', 'Sushi']","['#15 of 45 Chinese in Copenhagen', '#823 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 3.5)]"
Klint - Designmuseets Cafe,"Bredgade 68, Copenhagen 1260 Denmark",3.5,46,$$ - $$$,"['Cafe', 'European', 'Scandinavian']","['#209 of 402 Cafe in Copenhagen', '#824 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5)]"
Wulff & Konstali Nørrebro,"Sankt Hans Torv 30, Copenhagen 2200 Denmark",4.0,22,$$ - $$$,"['American', 'Cafe', 'European']","['#54 of 112 American in Copenhagen', '#825 of 1,971 Restaurants in Copenhagen']",[]
Restaurant Paustian,"Kalkbraenderiloebskaj 2 2100 CHP Ø, Copenhagen 2100 Denmark",4.0,85,$$$$,"['Danish', 'Vegetarian Friendly']","['#387 of 636 Danish in Copenhagen', '#826 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Restaurant BOF,"Aabenraa 8, Copenhagen 1124 Denmark",5.0,8,$$$$,['Steakhouse'],"['#26 of 32 Steakhouse in Copenhagen', '#828 of 1,971 Restaurants in Copenhagen']",[]
El Chavo Mexicano,"Godthaabsvej 203, Copenhagen 2720 Denmark",4.0,34,$,['Mexican'],"['#13 of 39 Mexican in Copenhagen', '#827 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Food Club,"Sortedamsdossering 7c In the backyard, Copenhagen Denmark",4.0,29,$$ - $$$,"['European', 'Danish']","['#532 of 840 European in Copenhagen', '#829 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.0), ('Value', 3.5)]"
Mission Green,"Havnegade 44, Copenhagen 1058 Denmark",4.0,47,$$ - $$$,"['American', 'Mediterranean', 'European']","['#55 of 112 American in Copenhagen', '#830 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5)]"
Kanalhuset Hotel,"Overgaden Oven Vandet 62A, Copenhagen 1415 Denmark",5.0,8,$$ - $$$,"['European', 'Scandinavian']","['#534 of 840 European in Copenhagen', '#831 of 1,971 Restaurants in Copenhagen']",[]
Elliot - Coffee & Craft Beer,"Svaertegade 6, Copenhagen 1118 Denmark",5.0,9,$,"['European', 'Danish']","['#535 of 840 European in Copenhagen', '#832 of 1,971 Restaurants in Copenhagen']",[]
Olivers Oase,"Frederiksberg Alle 69, Frederiksberg, Copenhagen 1820 Denmark",4.5,16,$$ - $$$,"['Cafe', 'European', 'Danish']","['#15 of 40 Cafe in Frederiksberg', '#47 of 194 Restaurants in Frederiksberg']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
Pincho Nation,"Fiolstraede 44, Copenhagen 1171 Denmark",3.5,120,$$ - $$$,"['European', 'Diner', 'Street Food']","['#536 of 840 European in Copenhagen', '#833 of 1,971 Restaurants in Copenhagen']","[('Food', 3.0), ('Service', 3.0), ('Value', 3.5)]"
Spicylicious,"Istedgade 27, Copenhagen 1650 Denmark",4.0,74,$$ - $$$,"['Asian', 'Thai', 'Vegetarian Friendly']","['#139 of 226 Asian in Copenhagen', '#834 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Nagoya,"Vodroffsvej 15, Frederiksberg, Copenhagen 1900 Denmark",4.0,27,$$ - $$$,['Japanese'],"['#4 of 15 Japanese in Frederiksberg', '#48 of 194 Restaurants in Frederiksberg']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0)]"
Kontrast,"Tietgensgade 39 Villa Hotel, Copenhagen 1704 Denmark",4.0,17,$$ - $$$,"['Italian', 'European', 'Danish']","['#120 of 238 Italian in Copenhagen', '#835 of 1,971 Restaurants in Copenhagen']",[]
Toga Vinstue,"Store Kirkestraede 3, Copenhagen 1073 Denmark",4.0,37,$$ - $$$,['Danish'],"['#392 of 636 Danish in Copenhagen', '#836 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.5)]"
Cafe Baaden,"Havkajakvej 16 Nearby the Metro-station Femøren, Copenhagen 2300 Denmark",4.0,34,$$ - $$$,"['Cafe', 'European', 'Vegetarian Friendly']","['#214 of 402 Cafe in Copenhagen', '#837 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5)]"
Berlin Bar,"Gammel Kongevej 147, Copenhagen 1850 Denmark",4.0,36,$$ - $$$,"['Bar', 'Pub']","['#102 of 177 Bar in Copenhagen', '#838 of 1,971 Restaurants in Copenhagen']","[('Service', 4.0), ('Value', 4.0)]"
Fontana Di Trevi,"Vesterbrogade 87, Copenhagen 1620 Denmark",4.0,28,$$ - $$$,"['Italian', 'Pizza', 'Mediterranean']","['#121 of 238 Italian in Copenhagen', '#839 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 4.0)]"
Cafe Phenix,"Vesterbrogade 55A, Copenhagen 1620 Denmark",4.0,49,$$ - $$$,"['European', 'Vegetarian Friendly']","['#541 of 840 European in Copenhagen', '#840 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 4.0), ('Value', 3.5)]"
Liberty Burgers & Grill,"Kalvebod Brygge 59, 2. Sal Fisketorvet Copenhagen Mall, Copenhagen 1560 Denmark",3.5,130,$$ - $$$,"['American', 'Bar', 'Barbecue']","['#57 of 112 American in Copenhagen', '#841 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5)]"
The South Indian Fields,"Arne Jacobsens Alle 12, Copenhagen 2300 Denmark",3.5,58,$$ - $$$,"['Indian', 'Asian', 'Vegetarian Friendly']","['#28 of 54 Indian in Copenhagen', '#842 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5)]"
Durum Bar Noerrebro,"Noerrebrogade 195, Copenhagen 2200 Denmark",4.5,15,,"['Turkish', 'Middle Eastern']","['#9 of 29 Turkish in Copenhagen', '#843 of 1,971 Restaurants in Copenhagen']",[]
Bistro Kivi,"Colbjoernsensgade 7, Copenhagen 1652 Denmark",3.5,80,$$ - $$$,"['Asian', 'Fusion', 'Vietnamese']","['#141 of 226 Asian in Copenhagen', '#844 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 3.5)]"
Kogebogeriet - Kogeboghandel Og Cafe,"Guldbergsgade 10, St, Copenhagen 2200 Denmark",5.0,9,$,"['French', 'American', 'European']","['#55 of 96 French in Copenhagen', '#845 of 1,971 Restaurants in Copenhagen']",[]
Storehouse,"Amerika Plads 7, Copenhagen 2100 Denmark",4.0,17,$$$$,"['American', 'Cafe', 'Scandinavian']","['#59 of 112 American in Copenhagen', '#846 of 1,971 Restaurants in Copenhagen']",[]
Iluka,"Peder Skrams Gade 15, Copenhagen 1054 Denmark",4.0,37,$$$$,"['Seafood', 'European', 'Danish']","['#52 of 82 Seafood in Copenhagen', '#847 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.0)]"
Restaurant Oranje,"Nyhavn 65A, Copenhagen 1051 Denmark",4.0,35,$$ - $$$,"['Seafood', 'European', 'Scandinavian']","['#53 of 82 Seafood in Copenhagen', '#848 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0)]"
Da Nino e Franco,"Blegdamsvej 36-38, Copenhagen Denmark",4.0,125,$$ - $$$,"['Italian', 'Pizza', 'Mediterranean']","['#122 of 238 Italian in Copenhagen', '#849 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 3.5)]"
Froken Sandwich,"Gyldenlovsgade 4, Copenhagen Denmark",4.5,18,$,[],"['#850 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.0)]"
Spisehuset rub og stub,"Radhusstraede 13, 1 Th, Copenhagen Denmark",4.0,36,$$ - $$$,['European'],"['#546 of 840 European in Copenhagen', '#851 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
King Ya Running Sushi & Wok,"Amagerbrogade 93, Copenhagen 2300 Denmark",3.5,62,$$ - $$$,"['Japanese', 'Sushi', 'Asian']","['#45 of 103 Japanese in Copenhagen', '#852 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 3.0)]"
Two Monkeys,"Gothersgade 8F Located in Boltens Food Court, in the bottom floor., Copenhagen 1123 Denmark",5.0,9,$$ - $$$,"['International', 'Grill']","['#51 of 95 International in Copenhagen', '#853 of 1,971 Restaurants in Copenhagen']",[]
Restaurant Zafran,"Blagardsgade 9, Copenhagen Denmark",4.0,75,$$ - $$$,"['Middle Eastern', 'Persian', 'Vegetarian Friendly']","['#25 of 55 Middle Eastern in Copenhagen', '#854 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Deep,"Amagerbrogade 16, Copenhagen Denmark",4.0,25,$$ - $$$,"['Indian', 'Vegetarian Friendly', 'Vegan Options']","['#29 of 54 Indian in Copenhagen', '#855 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 4.0)]"
Galathea Kroen,"Raadhusstraede 9 1466 Copenhagen K, Copenhagen 1466 Denmark",4.0,35,$$ - $$$,"['Indonesian', 'Malaysian']","['#2 of 3 Indonesian in Copenhagen', '#856 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5)]"
Homemate,"Frederiksborggade 21 Torvehallerne KBH, Copenhagen 1360 Denmark",5.0,10,$,"['European', 'Scandinavian']","['#547 of 840 European in Copenhagen', '#857 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Cafe Ristet Rug,"Prinsesse Charlottesgade 16, Copenhagen 2200 Denmark",5.0,10,$$ - $$$,"['Fast Food', 'European', 'Healthy']","['#76 of 149 Fast Food in Copenhagen', '#858 of 1,971 Restaurants in Copenhagen']",[]
Olufs,"Olufsvej 6 Oesterbro, Copenhagen 2100 Denmark",4.5,26,$,[],"['#859 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.5)]"
LETZ SUSHI Store Kongensgade,"Store Kongensgade 44, Copenhagen 2150 Denmark",4.5,12,$$ - $$$,"['Japanese', 'Seafood', 'Sushi']","['#46 of 103 Japanese in Copenhagen', '#860 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5)]"
The Boulevard,"Amager Boulevard 129, Copenhagen 2300 Denmark",4.5,15,$$ - $$$,"['European', 'Danish']","['#549 of 840 European in Copenhagen', '#861 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
Apollo Bar,"Nyhavn 2, Copenhagen Denmark",4.0,49,$$ - $$$,"['International', 'European', 'Vegetarian Friendly']","['#52 of 95 International in Copenhagen', '#862 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0)]"
The Scottish Pub,"Raadhuspladsen 16, Copenhagen 1550 Denmark",3.5,114,$$ - $$$,['Pub'],"['#65 of 132 Pub in Copenhagen', '#863 of 1,971 Restaurants in Copenhagen']","[('Food', 3.0), ('Service', 4.0), ('Value', 3.5)]"
Brasserie Storm,"Oerestads Boulevard 114/118, Copenhagen 2300 Denmark",4.0,49,$$ - $$$,"['Scandinavian', 'Danish']","['#266 of 331 Scandinavian in Copenhagen', '#864 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5)]"
Restauranten i Koncerthuset,"Emil Holms Kanal 20, Copenhagen 2300 Denmark",4.0,24,$$ - $$$,[],"['#865 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 3.5)]"
Maui,"Ravnsborggade 12D, Copenhagen 2200 Denmark",4.0,23,$$ - $$$,"['Japanese', 'Seafood', 'Asian']","['#47 of 103 Japanese in Copenhagen', '#866 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5)]"
Le Basilic,"Gasvaerksvej 5, Copenhagen 1656 Denmark",3.5,202,$$ - $$$,"['French', 'European']","['#56 of 96 French in Copenhagen', '#867 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 4.0)]"
Omakase,"Vesterbrogade 171, Frederiksberg, Copenhagen 1800 Denmark",4.0,21,$$ - $$$,"['Japanese', 'Sushi']","['#5 of 15 Japanese in Frederiksberg', '#49 of 194 Restaurants in Frederiksberg']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Svane Pub,"Strandvejen 10, Copenhagen 2100 Denmark",3.5,65,$,"['European', 'Danish']","['#552 of 840 European in Copenhagen', '#868 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 3.5)]"
Osterbros Originale Burgerrestaurant,"Osterbrogade 74, Copenhagen 1650 Denmark",3.5,112,$$ - $$$,"['American', 'Diner']","['#60 of 112 American in Copenhagen', '#869 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.0), ('Value', 3.0)]"
Faerge Cafeen,"Strandgade 50 Christianshavn, Copenhagen 1401 Denmark",4.0,27,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#553 of 840 European in Copenhagen', '#870 of 1,971 Restaurants in Copenhagen']",[]
Madklubben Nørrebro,"Sortedam Dossering 7C, Copenhagen 2200 Denmark",4.0,33,$$ - $$$,['Vegetarian Friendly'],"['#871 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0)]"
Chai Wong,"Thorvaldsensvej 2, Frederiksberg, Copenhagen 1871 Denmark",3.5,112,$$ - $$$,"['Asian', 'Thai']","['#6 of 15 Asian in Frederiksberg', '#50 of 194 Restaurants in Frederiksberg']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 4.0)]"
Min Thai Takeaway & Restaurant,"Dirch Passers Alle 84, Frederiksberg, Copenhagen 2000 Denmark",5.0,10,$$ - $$$,['Thai'],"['#3 of 11 Thai in Frederiksberg', '#51 of 194 Restaurants in Frederiksberg']",[]
Nakorn Thai,"Store Kongensgade 87, Copenhagen 1264 Denmark",3.5,64,$$ - $$$,"['Asian', 'Thai', 'Vegetarian Friendly']","['#145 of 226 Asian in Copenhagen', '#872 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 3.0)]"
Café Moccador,"Falkoner Alle 23, Frederiksberg, Copenhagen 2000 Denmark",3.5,44,$$ - $$$,"['Cafe', 'European', 'Danish']","['#16 of 40 Cafe in Frederiksberg', '#52 of 194 Restaurants in Frederiksberg']","[('Food', 3.5), ('Service', 3.5), ('Value', 4.0), ('Atmosphere', 4.0)]"
Le Gourmand,"Vaernedamsvej 3A, Frederiksberg, Copenhagen 1819 Denmark",4.5,25,$$ - $$$,"['French', 'European', 'Diner']","['#5 of 13 French in Frederiksberg', '#53 of 194 Restaurants in Frederiksberg']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Bak Homemade Sandwich,"Store Kongensgade 54, Copenhagen 1264 Denmark",5.0,9,$,[],"['#874 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
The Market Italian,"Kristen Bernikows Gade 9/11, Copenhagen 1105 Denmark",3.5,41,$$ - $$$,['Italian'],"['#123 of 238 Italian in Copenhagen', '#873 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5)]"
Mæxico,"Guldbergsgade 3, Copenhagen 2200 Denmark",4.0,37,$$ - $$$,['Mexican'],"['#14 of 39 Mexican in Copenhagen', '#875 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5)]"
Go Sushi,"Frederiksborgvej 84, Copenhagen 2400 Denmark",4.5,17,$$ - $$$,"['Japanese', 'Sushi']","['#48 of 103 Japanese in Copenhagen', '#877 of 1,971 Restaurants in Copenhagen']",[]
Kebab Klubben,"Lyngby Hovedgade 72, Copenhagen 2800 Denmark",4.0,57,$,"['Fast Food', 'Barbecue', 'Turkish']","['#77 of 149 Fast Food in Copenhagen', '#876 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 4.5), ('Atmosphere', 3.0)]"
EggSperience,"Vesterbrogade 97 WestMarket - Streetfood, Copenhagen 1640 Denmark",4.5,12,$$ - $$$,"['Italian', 'Fast Food', 'International']","['#124 of 238 Italian in Copenhagen', '#878 of 1,971 Restaurants in Copenhagen']",[]
just-A-winebar,"Murmanskgade 9, Copenhagen 2150 Denmark",4.5,22,$$ - $$$,"['Bar', 'Spanish', 'Deli']","['#104 of 177 Bar in Copenhagen', '#879 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 5.0), ('Value', 4.0)]"
L'appetit,"Fredriksborggade 27, Copenhagen Denmark",4.0,26,$,"['Fast Food', 'Vegetarian Friendly', 'Vegan Options']","['#79 of 149 Fast Food in Copenhagen', '#880 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.5), ('Atmosphere', 3.5)]"
Gaza Grill,"Faelledvej 22, Copenhagen 2200 Denmark",4.0,31,$,"['Mediterranean', 'Middle Eastern', 'Vegetarian Friendly']","['#75 of 109 Mediterranean in Copenhagen', '#881 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 4.0)]"
Sofienholmcafe,"Nybrovej 401, Copenhagen 2800 Denmark",4.0,36,$$ - $$$,['Cafe'],"['#882 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 3.5), ('Value', 4.0)]"
Soernes Olbar,"Sortedams Dosseringen 83,, Copenhagen Denmark",4.0,41,$$ - $$$,['Pub'],"['#66 of 132 Pub in Copenhagen', '#883 of 1,971 Restaurants in Copenhagen']","[('Food', 3.0), ('Service', 3.5), ('Value', 3.0)]"
Restaurant Lynetten,"Refshalevej 200, Copenhagen 1432 Denmark",3.5,56,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#554 of 840 European in Copenhagen', '#884 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0)]"
Desserthuset,"Frederiksborggade 50, Copenhagen 1360 Denmark",4.0,14,$$ - $$$,['Cafe'],"['#225 of 402 Cafe in Copenhagen', '#885 of 1,971 Restaurants in Copenhagen']",[]
Cocks & Cows Ravnsborggade,"Ravnsborggade 14 2200 Copenhagen N, Copenhagen 2200 Denmark",3.5,77,$$ - $$$,"['American', 'Bar', 'Grill']","['#61 of 112 American in Copenhagen', '#886 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5)]"
Meyer's deli,"Gl. Kongevej, Frederiksberg, Copenhagen Denmark",3.5,67,$$ - $$$,"['Cafe', 'European', 'Scandinavian']","['#17 of 40 Cafe in Frederiksberg', '#54 of 194 Restaurants in Frederiksberg']","[('Food', 3.5), ('Service', 3.0), ('Value', 3.0), ('Atmosphere', 3.0)]"
Nordisk Falafel,"Nordre Frihavnsgade 55, Copenhagen 2100 Denmark",4.5,14,$$ - $$$,['Middle Eastern'],"['#28 of 55 Middle Eastern in Copenhagen', '#887 of 1,971 Restaurants in Copenhagen']",[]
Elly's kaffebar,"Stefansgade 73 Kld Ved Borupsplads, Copenhagen 2200 Denmark",5.0,14,$,[],"['#888 of 1,971 Restaurants in Copenhagen']",[]
Bistro Central,"Ny Oestergade 14, Copenhagen 1101 Denmark",4.0,67,$$ - $$$,"['International', 'European', 'Vegetarian Friendly']","['#54 of 95 International in Copenhagen', '#889 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 4.0)]"
Fusion Monkey,"Falkoner Alle 102, Frederiksberg, Copenhagen 2000 Denmark",4.5,11,$$ - $$$,[],['#55 of 194 Restaurants in Frederiksberg'],[]
Kaldi Copenhagen,"Istedgade 11, Copenhagen 1650 Denmark",5.0,8,$,"['Dutch', 'European']","['#1 of 1 Dutch in Copenhagen', '#890 of 1,971 Restaurants in Copenhagen']",[]
Chai Shai,"Aalholmvej 17, Copenhagen Denmark",4.5,18,$,['Vegetarian Friendly'],"['#891 of 1,971 Restaurants in Copenhagen']",[]
Madklubben Østerbro,"Oesterbrogade 59, Copenhagen 2100 Denmark",3.5,77,$$ - $$$,"['European', 'Central European', 'Danish']","['#558 of 840 European in Copenhagen', '#892 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 4.0), ('Value', 3.5)]"
Holms Bager,"Torvegade 50, Copenhagen Denmark",4.0,19,$,"['Cafe', 'European', 'Scandinavian']","['#228 of 402 Cafe in Copenhagen', '#893 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
H15,"Halmtorvet 15, Copenhagen 1700 Denmark",4.0,24,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#560 of 840 European in Copenhagen', '#894 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 4.0)]"
Restaurant Kreta,"Jyllingevej 56, Copenhagen 2720 Denmark",4.0,28,$$ - $$$,['Greek'],"['#10 of 14 Greek in Copenhagen', '#895 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
